id,Circuit,District,N,Pct,Fiscal_Year
51,7th Circuit,"Wisconsin, Eastern",53,1.20%,2022
52,7th Circuit,"Wisconsin, Western",21,0.50%,2022
53,8th Circuit,"Arkansas, Eastern",25,0.60%,2022
54,8th Circuit,"Arkansas, Western",7,0.20%,2022
55,8th Circuit,"Iowa, Northern",18,0.40%,2022
56,8th Circuit,"Iowa, Southern",47,1.10%,2022
57,8th Circuit,Minnesota,48,1.10%,2022
58,8th Circuit,"Missouri, Eastern",78,1.80%,2022
59,8th Circuit,"Missouri, Western",59,1.30%,2022
60,8th Circuit,Nebraska,58,1.30%,2022
61,8th Circuit,North Dakota,77,1.70%,2022
62,8th Circuit,South Dakota,95,2.20%,2022
63,9th Circuit,Alaska,17,0.40%,2022
64,9th Circuit,Arizona,160,3.60%,2022
65,9th Circuit,"California, Central",79,1.80%,2022
66,9th Circuit,"California, Eastern",22,0.50%,2022
67,9th Circuit,"California, Northern",39,0.90%,2022
68,9th Circuit,"California, Southern",47,1.10%,2022
69,9th Circuit,Guam,2,0.00%,2022
70,9th Circuit,Hawaii,13,0.30%,2022
71,9th Circuit,Idaho,19,0.40%,2022
72,9th Circuit,Montana,36,0.80%,2022
73,9th Circuit,Nevada,39,0.90%,2022
74,9th Circuit,Oregon,52,1.20%,2022
75,9th Circuit,"Washington, Eastern",26,0.60%,2022
76,9th Circuit,"Washington, Western",24,0.50%,2022
77,10th Circuit,Colorado,55,1.20%,2022
78,10th Circuit,Kansas,26,0.60%,2022
79,10th Circuit,New Mexico,114,2.60%,2022
80,10th Circuit,"Oklahoma, Eastern",89,2.00%,2022
81,10th Circuit,"Oklahoma, Northern",161,3.60%,2022
82,10th Circuit,"Oklahoma, Western",27,0.60%,2022
83,10th Circuit,Utah,53,1.20%,2022
84,10th Circuit,Wyoming,26,0.60%,2022
85,11th Circuit,"Alabama, Middle",17,0.40%,2022
86,11th Circuit,"Alabama, Northern",29,0.70%,2022
87,11th Circuit,"Alabama, Southern",13,0.30%,2022
88,11th Circuit,"Florida, Middle",65,1.50%,2022
89,11th Circuit,"Florida, Northern",32,0.70%,2022
90,11th Circuit,"Florida, Southern",130,2.90%,2022
91,11th Circuit,"Georgia, Middle",15,0.30%,2022
92,11th Circuit,"Georgia, Northern",63,1.40%,2022
93,11th Circuit,"Georgia, Southern",24,0.50%,2022
94,Grand Total,Total,"3,438",100.00%,2021
95,DC Circuit,District of Columbia,17,0.50%,2021
96,1st Circuit,Maine,8,0.20%,2021
97,1st Circuit,Massachusetts,33,1.00%,2021
98,1st Circuit,New Hampshire,12,0.30%,2021
99,1st Circuit,Puerto Rico,77,2.20%,2021
100,1st Circuit,Rhode Island,7,0.20%,2021
101,2nd Circuit,Connecticut,20,0.60%,2021
102,2nd Circuit,"New York, Eastern",67,1.90%,2021
103,2nd Circuit,"New York, Northern",24,0.70%,2021
104,2nd Circuit,"New York, Southern",138,4.00%,2021
105,2nd Circuit,"New York, Western",34,1.00%,2021
106,2nd Circuit,Vermont,3,0.10%,2021
107,3rd Circuit,Delaware,3,0.10%,2021
108,3rd Circuit,New Jersey,34,1.00%,2021
109,3rd Circuit,"Pennsylvania, Eastern",52,1.50%,2021
110,3rd Circuit,"Pennsylvania, Middle",30,0.90%,2021
111,3rd Circuit,"Pennsylvania, Western",27,0.80%,2021
112,3rd Circuit,Virgin Islands,2,0.10%,2021
113,4th Circuit,Maryland,70,2.00%,2021
114,4th Circuit,"North Carolina, Eastern",78,2.30%,2021
115,4th Circuit,"North Carolina, Middle",43,1.30%,2021
116,4th Circuit,"North Carolina, Western",62,1.80%,2021
117,4th Circuit,South Carolina,20,0.60%,2021
118,4th Circuit,"Virginia, Eastern",59,1.70%,2021
119,4th Circuit,"Virginia, Western",18,0.50%,2021
120,4th Circuit,"West Virginia, Northern",18,0.50%,2021
121,4th Circuit,"West Virginia, Southern",10,0.30%,2021
122,5th Circuit,"Louisiana, Eastern",20,0.60%,2021
123,5th Circuit,"Louisiana, Middle",3,0.10%,2021
124,5th Circuit,"Louisiana, Western",16,0.50%,2021
125,5th Circuit,"Mississippi, Northern",5,0.10%,2021
126,5th Circuit,"Mississippi, Southern",20,0.60%,2021
127,5th Circuit,"Texas, Eastern",25,0.70%,2021
128,5th Circuit,"Texas, Northern",107,3.10%,2021
129,5th Circuit,"Texas, Southern",80,2.30%,2021
130,5th Circuit,"Texas, Western",47,1.40%,2021
131,6th Circuit,"Kentucky, Eastern",24,0.70%,2021
132,6th Circuit,"Kentucky, Western",28,0.80%,2021
133,6th Circuit,"Michigan, Eastern",48,1.40%,2021
134,6th Circuit,"Michigan, Western",20,0.60%,2021
135,6th Circuit,"Ohio, Northern",41,1.20%,2021
136,6th Circuit,"Ohio, Southern",42,1.20%,2021
137,6th Circuit,"Tennessee, Eastern",24,0.70%,2021
138,6th Circuit,"Tennessee, Middle",30,0.90%,2021
139,6th Circuit,"Tennessee, Western",44,1.30%,2021
140,7th Circuit,"Illinois, Central",38,1.10%,2021
141,7th Circuit,"Illinois, Northern",62,1.80%,2021
142,7th Circuit,"Illinois, Southern",33,1.00%,2021
143,7th Circuit,"Indiana, Northern",37,1.10%,2021
144,7th Circuit,"Indiana, Southern",44,1.30%,2021
145,7th Circuit,"Wisconsin, Eastern",36,1.00%,2021
146,7th Circuit,"Wisconsin, Western",15,0.40%,2021
147,8th Circuit,"Arkansas, Eastern",12,0.30%,2021
148,8th Circuit,"Arkansas, Western",11,0.30%,2021
149,8th Circuit,"Iowa, Northern",17,0.50%,2021
150,8th Circuit,"Iowa, Southern",25,0.70%,2021
151,8th Circuit,Minnesota,37,1.10%,2021
152,8th Circuit,"Missouri, Eastern",77,2.20%,2021
153,8th Circuit,"Missouri, Western",33,1.00%,2021
154,8th Circuit,Nebraska,47,1.40%,2021
155,8th Circuit,North Dakota,64,1.90%,2021
156,8th Circuit,South Dakota,96,2.80%,2021
157,9th Circuit,Alaska,18,0.50%,2021
158,9th Circuit,Arizona,150,4.40%,2021
159,9th Circuit,"California, Central",50,1.50%,2021
160,9th Circuit,"California, Eastern",13,0.40%,2021
161,9th Circuit,"California, Northern",31,0.90%,2021
162,9th Circuit,"California, Southern",23,0.70%,2021
163,9th Circuit,Guam,1,0.00%,2021
164,9th Circuit,Hawaii,9,0.30%,2021
165,9th Circuit,Idaho,30,0.90%,2021
166,9th Circuit,Montana,41,1.20%,2021
167,9th Circuit,Nevada,27,0.80%,2021
168,9th Circuit,Oregon,36,1.00%,2021
169,9th Circuit,"Washington, Eastern",24,0.70%,2021
170,9th Circuit,"Washington, Western",21,0.60%,2021
171,10th Circuit,Colorado,27,0.80%,2021
172,10th Circuit,Kansas,31,0.90%,2021
173,10th Circuit,New Mexico,115,3.30%,2021
174,10th Circuit,"Oklahoma, Eastern",36,1.00%,2021
175,10th Circuit,"Oklahoma, Northern",89,2.60%,2021
176,10th Circuit,"Oklahoma, Western",28,0.80%,2021
177,10th Circuit,Utah,41,1.20%,2021
178,10th Circuit,Wyoming,31,0.90%,2021
179,11th Circuit,"Alabama, Middle",10,0.30%,2021
180,11th Circuit,"Alabama, Northern",28,0.80%,2021
181,11th Circuit,"Alabama, Southern",19,0.60%,2021
182,11th Circuit,"Florida, Middle",74,2.20%,2021
183,11th Circuit,"Florida, Northern",24,0.70%,2021
184,11th Circuit,"Florida, Southern",48,1.40%,2021
185,11th Circuit,"Georgia, Middle",20,0.60%,2021
186,11th Circuit,"Georgia, Northern",47,1.40%,2021
187,11th Circuit,"Georgia, Southern",22,0.60%,2021
188,Grand Total,Total,"3,219",100.00%,2020
189,DC Circuit,District of Columbia,11,0.30%,2020
190,1st Circuit,Maine,3,0.10%,2020
191,1st Circuit,Massachusetts,18,0.60%,2020
192,1st Circuit,New Hampshire,5,0.20%,2020
193,1st Circuit,Puerto Rico,87,2.70%,2020
194,1st Circuit,Rhode Island,5,0.20%,2020
195,2nd Circuit,Connecticut,30,0.90%,2020
196,2nd Circuit,"New York, Eastern",33,1.00%,2020
197,2nd Circuit,"New York, Northern",20,0.60%,2020
198,2nd Circuit,"New York, Southern",110,3.40%,2020
199,2nd Circuit,"New York, Western",31,1.00%,2020
200,2nd Circuit,Vermont,4,0.10%,2020
201,3rd Circuit,Delaware,1,0.00%,2020
202,3rd Circuit,New Jersey,21,0.70%,2020
203,3rd Circuit,"Pennsylvania, Eastern",59,1.80%,2020
204,3rd Circuit,"Pennsylvania, Middle",27,0.80%,2020
205,3rd Circuit,"Pennsylvania, Western",23,0.70%,2020
206,4th Circuit,Maryland,64,2.00%,2020
207,4th Circuit,"North Carolina, Eastern",48,1.50%,2020
208,4th Circuit,"North Carolina, Middle",45,1.40%,2020
209,4th Circuit,"North Carolina, Western",47,1.50%,2020
210,4th Circuit,South Carolina,18,0.60%,2020
211,4th Circuit,"Virginia, Eastern",57,1.80%,2020
212,4th Circuit,"Virginia, Western",18,0.60%,2020
213,4th Circuit,"West Virginia, Northern",10,0.30%,2020
214,4th Circuit,"West Virginia, Southern",17,0.50%,2020
215,5th Circuit,"Louisiana, Eastern",12,0.40%,2020
216,5th Circuit,"Louisiana, Middle",3,0.10%,2020
217,5th Circuit,"Louisiana, Western",21,0.70%,2020
218,5th Circuit,"Mississippi, Northern",23,0.70%,2020
219,5th Circuit,"Mississippi, Southern",24,0.70%,2020
220,5th Circuit,"Texas, Eastern",58,1.80%,2020
221,5th Circuit,"Texas, Northern",99,3.10%,2020
222,5th Circuit,"Texas, Southern",96,3.00%,2020
223,5th Circuit,"Texas, Western",52,1.60%,2020
224,6th Circuit,"Kentucky, Eastern",26,0.80%,2020
225,6th Circuit,"Kentucky, Western",27,0.80%,2020
226,6th Circuit,"Michigan, Eastern",60,1.90%,2020
227,6th Circuit,"Michigan, Western",28,0.90%,2020
228,6th Circuit,"Ohio, Northern",42,1.30%,2020
229,6th Circuit,"Ohio, Southern",54,1.70%,2020
230,6th Circuit,"Tennessee, Eastern",20,0.60%,2020
231,6th Circuit,"Tennessee, Middle",37,1.10%,2020
232,6th Circuit,"Tennessee, Western",51,1.60%,2020
233,7th Circuit,"Illinois, Central",27,0.80%,2020
234,7th Circuit,"Illinois, Northern",53,1.60%,2020
235,7th Circuit,"Illinois, Southern",26,0.80%,2020
236,7th Circuit,"Indiana, Northern",37,1.10%,2020
237,7th Circuit,"Indiana, Southern",49,1.50%,2020
238,7th Circuit,"Wisconsin, Eastern",46,1.40%,2020
239,7th Circuit,"Wisconsin, Western",16,0.50%,2020
240,8th Circuit,"Arkansas, Eastern",9,0.30%,2020
241,8th Circuit,"Arkansas, Western",10,0.30%,2020
242,8th Circuit,"Iowa, Northern",21,0.70%,2020
243,8th Circuit,"Iowa, Southern",20,0.60%,2020
244,8th Circuit,Minnesota,40,1.20%,2020
245,8th Circuit,"Missouri, Eastern",53,1.60%,2020
246,8th Circuit,"Missouri, Western",49,1.50%,2020
247,8th Circuit,Nebraska,55,1.70%,2020
248,8th Circuit,North Dakota,34,1.10%,2020
249,8th Circuit,South Dakota,93,2.90%,2020
250,9th Circuit,Alaska,5,0.20%,2020
251,9th Circuit,Arizona,145,4.50%,2020
252,9th Circuit,"California, Central",58,1.80%,2020
253,9th Circuit,"California, Eastern",28,0.90%,2020
254,9th Circuit,"California, Northern",40,1.20%,2020
255,9th Circuit,"California, Southern",36,1.10%,2020
256,9th Circuit,Guam,1,0.00%,2020
257,9th Circuit,Hawaii,16,0.50%,2020
258,9th Circuit,Idaho,22,0.70%,2020
259,9th Circuit,Montana,43,1.30%,2020
260,9th Circuit,Nevada,16,0.50%,2020
261,9th Circuit,Oregon,26,0.80%,2020
262,9th Circuit,"Washington, Eastern",20,0.60%,2020
263,9th Circuit,"Washington, Western",13,0.40%,2020
264,10th Circuit,Colorado,44,1.40%,2020
265,10th Circuit,Kansas,20,0.60%,2020
266,10th Circuit,New Mexico,109,3.40%,2020
267,10th Circuit,"Oklahoma, Eastern",6,0.20%,2020
268,10th Circuit,"Oklahoma, Northern",20,0.60%,2020
269,10th Circuit,"Oklahoma, Western",36,1.10%,2020
270,10th Circuit,Utah,37,1.10%,2020
271,10th Circuit,Wyoming,18,0.60%,2020
272,11th Circuit,"Alabama, Middle",7,0.20%,2020
273,11th Circuit,"Alabama, Northern",26,0.80%,2020
274,11th Circuit,"Alabama, Southern",18,0.60%,2020
275,11th Circuit,"Florida, Middle",59,1.80%,2020
276,11th Circuit,"Florida, Northern",13,0.40%,2020
277,11th Circuit,"Florida, Southern",76,2.40%,2020
278,11th Circuit,"Georgia, Middle",13,0.40%,2020
279,11th Circuit,"Georgia, Northern",39,1.20%,2020
280,11th Circuit,"Georgia, Southern",26,0.80%,2020
281,Grand Total,Total,"4,326",100.00%,2019
282,DC Circuit,District of Columbia,24,0.60%,2019
283,1st Circuit,Maine,12,0.30%,2019
284,1st Circuit,Massachusetts,31,0.70%,2019
285,1st Circuit,New Hampshire,17,0.40%,2019
286,1st Circuit,Puerto Rico,123,2.80%,2019
287,1st Circuit,Rhode Island,15,0.30%,2019
288,2nd Circuit,Connecticut,26,0.60%,2019
289,2nd Circuit,"New York, Eastern",114,2.60%,2019
290,2nd Circuit,"New York, Northern",12,0.30%,2019
291,2nd Circuit,"New York, Southern",212,4.90%,2019
292,2nd Circuit,"New York, Western",55,1.30%,2019
293,2nd Circuit,Vermont,2,0.00%,2019
294,3rd Circuit,Delaware,2,0.00%,2019
295,3rd Circuit,New Jersey,37,0.90%,2019
296,3rd Circuit,"Pennsylvania, Eastern",77,1.80%,2019
297,3rd Circuit,"Pennsylvania, Middle",51,1.20%,2019
298,3rd Circuit,"Pennsylvania, Western",34,0.80%,2019
299,3rd Circuit,Virgin Islands,7,0.20%,2019
300,4th Circuit,Maryland,147,3.40%,2019
301,4th Circuit,"North Carolina, Eastern",64,1.50%,2019
302,4th Circuit,"North Carolina, Middle",64,1.50%,2019
303,4th Circuit,"North Carolina, Western",32,0.70%,2019
304,4th Circuit,South Carolina,68,1.60%,2019
305,4th Circuit,"Virginia, Eastern",66,1.50%,2019
306,4th Circuit,"Virginia, Western",5,0.10%,2019
307,4th Circuit,"West Virginia, Northern",7,0.20%,2019
308,4th Circuit,"West Virginia, Southern",15,0.30%,2019
309,5th Circuit,"Louisiana, Eastern",23,0.50%,2019
310,5th Circuit,"Louisiana, Middle",3,0.10%,2019
311,5th Circuit,"Louisiana, Western",25,0.60%,2019
312,5th Circuit,"Mississippi, Northern",9,0.20%,2019
313,5th Circuit,"Mississippi, Southern",29,0.70%,2019
314,5th Circuit,"Texas, Eastern",33,0.80%,2019
315,5th Circuit,"Texas, Northern",125,2.90%,2019
316,5th Circuit,"Texas, Southern",109,2.50%,2019
317,5th Circuit,"Texas, Western",117,2.70%,2019
318,6th Circuit,"Kentucky, Eastern",19,0.40%,2019
319,6th Circuit,"Kentucky, Western",24,0.60%,2019
320,6th Circuit,"Michigan, Eastern",108,2.50%,2019
321,6th Circuit,"Michigan, Western",40,0.90%,2019
322,6th Circuit,"Ohio, Northern",53,1.20%,2019
323,6th Circuit,"Ohio, Southern",39,0.90%,2019
324,6th Circuit,"Tennessee, Eastern",27,0.60%,2019
325,6th Circuit,"Tennessee, Middle",37,0.90%,2019
326,6th Circuit,"Tennessee, Western",73,1.70%,2019
327,7th Circuit,"Illinois, Central",16,0.40%,2019
328,7th Circuit,"Illinois, Northern",93,2.10%,2019
329,7th Circuit,"Illinois, Southern",30,0.70%,2019
330,7th Circuit,"Indiana, Northern",35,0.80%,2019
331,7th Circuit,"Indiana, Southern",54,1.20%,2019
332,7th Circuit,"Wisconsin, Eastern",42,1.00%,2019
333,7th Circuit,"Wisconsin, Western",24,0.60%,2019
334,8th Circuit,"Arkansas, Eastern",16,0.40%,2019
335,8th Circuit,"Arkansas, Western",16,0.40%,2019
336,8th Circuit,"Iowa, Northern",15,0.30%,2019
337,8th Circuit,"Iowa, Southern",30,0.70%,2019
338,8th Circuit,Minnesota,50,1.20%,2019
339,8th Circuit,"Missouri, Eastern",68,1.60%,2019
340,8th Circuit,"Missouri, Western",75,1.70%,2019
341,8th Circuit,Nebraska,45,1.00%,2019
342,8th Circuit,North Dakota,53,1.20%,2019
343,8th Circuit,South Dakota,95,2.20%,2019
344,9th Circuit,Alaska,16,0.40%,2019
345,9th Circuit,Arizona,266,6.10%,2019
346,9th Circuit,"California, Central",57,1.30%,2019
347,9th Circuit,"California, Eastern",29,0.70%,2019
348,9th Circuit,"California, Northern",40,0.90%,2019
349,9th Circuit,"California, Southern",39,0.90%,2019
350,9th Circuit,Guam,1,0.00%,2019
351,9th Circuit,Hawaii,6,0.10%,2019
352,9th Circuit,Idaho,24,0.60%,2019
353,9th Circuit,Montana,57,1.30%,2019
354,9th Circuit,Nevada,55,1.30%,2019
355,9th Circuit,Oregon,52,1.20%,2019
356,9th Circuit,"Washington, Eastern",25,0.60%,2019
357,9th Circuit,"Washington, Western",23,0.50%,2019
358,10th Circuit,Colorado,36,0.80%,2019
359,10th Circuit,Kansas,31,0.70%,2019
360,10th Circuit,New Mexico,141,3.30%,2019
361,10th Circuit,"Oklahoma, Eastern",8,0.20%,2019
362,10th Circuit,"Oklahoma, Northern",27,0.60%,2019
363,10th Circuit,"Oklahoma, Western",25,0.60%,2019
364,10th Circuit,Utah,41,0.90%,2019
365,10th Circuit,Wyoming,32,0.70%,2019
366,11th Circuit,"Alabama, Middle",9,0.20%,2019
367,11th Circuit,"Alabama, Northern",36,0.80%,2019
368,11th Circuit,"Alabama, Southern",24,0.60%,2019
369,11th Circuit,"Florida, Middle",77,1.80%,2019
370,11th Circuit,"Florida, Northern",16,0.40%,2019
371,11th Circuit,"Florida, Southern",102,2.40%,2019
372,11th Circuit,"Georgia, Middle",11,0.30%,2019
373,11th Circuit,"Georgia, Northern",36,0.80%,2019
374,11th Circuit,"Georgia, Southern",15,0.30%,2019
375,Grand Total,Total,"3,973",100.00%,2018
376,DC Circuit,District of Columbia,29,0.70%,2018
377,1st Circuit,Maine,12,0.30%,2018
378,1st Circuit,Massachusetts,53,1.30%,2018
379,1st Circuit,New Hampshire,19,0.50%,2018
380,1st Circuit,Puerto Rico,64,1.60%,2018
381,1st Circuit,Rhode Island,6,0.20%,2018
382,2nd Circuit,Connecticut,26,0.70%,2018
383,2nd Circuit,"New York, Eastern",87,2.20%,2018
384,2nd Circuit,"New York, Northern",19,0.50%,2018
385,2nd Circuit,"New York, Southern",200,5.00%,2018
386,2nd Circuit,"New York, Western",48,1.20%,2018
387,2nd Circuit,Vermont,10,0.30%,2018
388,3rd Circuit,Delaware,9,0.20%,2018
389,3rd Circuit,New Jersey,42,1.10%,2018
390,3rd Circuit,"Pennsylvania, Eastern",85,2.10%,2018
391,3rd Circuit,"Pennsylvania, Middle",62,1.60%,2018
392,3rd Circuit,"Pennsylvania, Western",19,0.50%,2018
393,3rd Circuit,Virgin Islands,10,0.30%,2018
394,4th Circuit,Maryland,123,3.10%,2018
395,4th Circuit,"North Carolina, Eastern",64,1.60%,2018
396,4th Circuit,"North Carolina, Middle",41,1.00%,2018
397,4th Circuit,"North Carolina, Western",64,1.60%,2018
398,4th Circuit,South Carolina,62,1.60%,2018
399,4th Circuit,"Virginia, Eastern",102,2.60%,2018
400,4th Circuit,"Virginia, Western",7,0.20%,2018
401,4th Circuit,"West Virginia, Northern",5,0.10%,2018
402,4th Circuit,"West Virginia, Southern",6,0.20%,2018
403,5th Circuit,"Louisiana, Eastern",23,0.60%,2018
404,5th Circuit,"Louisiana, Middle",5,0.10%,2018
405,5th Circuit,"Louisiana, Western",13,0.30%,2018
406,5th Circuit,"Mississippi, Northern",15,0.40%,2018
407,5th Circuit,"Mississippi, Southern",15,0.40%,2018
408,5th Circuit,"Texas, Eastern",47,1.20%,2018
409,5th Circuit,"Texas, Northern",108,2.70%,2018
410,5th Circuit,"Texas, Southern",93,2.30%,2018
411,5th Circuit,"Texas, Western",72,1.80%,2018
412,6th Circuit,"Kentucky, Eastern",20,0.50%,2018
413,6th Circuit,"Kentucky, Western",15,0.40%,2018
414,6th Circuit,"Michigan, Eastern",118,3.00%,2018
415,6th Circuit,"Michigan, Western",28,0.70%,2018
416,6th Circuit,"Ohio, Northern",38,1.00%,2018
417,6th Circuit,"Ohio, Southern",47,1.20%,2018
418,6th Circuit,"Tennessee, Eastern",25,0.60%,2018
419,6th Circuit,"Tennessee, Middle",27,0.70%,2018
420,6th Circuit,"Tennessee, Western",40,1.00%,2018
421,7th Circuit,"Illinois, Central",17,0.40%,2018
422,7th Circuit,"Illinois, Northern",120,3.00%,2018
423,7th Circuit,"Illinois, Southern",13,0.30%,2018
424,7th Circuit,"Indiana, Northern",39,1.00%,2018
425,7th Circuit,"Indiana, Southern",60,1.50%,2018
426,7th Circuit,"Wisconsin, Eastern",62,1.60%,2018
427,7th Circuit,"Wisconsin, Western",17,0.40%,2018
428,8th Circuit,"Arkansas, Eastern",11,0.30%,2018
429,8th Circuit,"Arkansas, Western",9,0.20%,2018
430,8th Circuit,"Iowa, Northern",16,0.40%,2018
431,8th Circuit,"Iowa, Southern",25,0.60%,2018
432,8th Circuit,Minnesota,31,0.80%,2018
433,8th Circuit,"Missouri, Eastern",51,1.30%,2018
434,8th Circuit,"Missouri, Western",51,1.30%,2018
435,8th Circuit,Nebraska,48,1.20%,2018
436,8th Circuit,North Dakota,61,1.50%,2018
437,8th Circuit,South Dakota,106,2.70%,2018
438,9th Circuit,Alaska,18,0.50%,2018
439,9th Circuit,Arizona,242,6.10%,2018
440,9th Circuit,"California, Central",56,1.40%,2018
441,9th Circuit,"California, Eastern",15,0.40%,2018
442,9th Circuit,"California, Northern",32,0.80%,2018
443,9th Circuit,"California, Southern",32,0.80%,2018
444,9th Circuit,Hawaii,12,0.30%,2018
445,9th Circuit,Idaho,18,0.50%,2018
446,9th Circuit,Montana,45,1.10%,2018
447,9th Circuit,Nevada,40,1.00%,2018
448,9th Circuit,Oregon,49,1.20%,2018
449,9th Circuit,"Washington, Eastern",20,0.50%,2018
450,9th Circuit,"Washington, Western",20,0.50%,2018
451,10th Circuit,Colorado,33,0.80%,2018
452,10th Circuit,Kansas,35,0.90%,2018
453,10th Circuit,New Mexico,81,2.00%,2018
454,10th Circuit,"Oklahoma, Eastern",8,0.20%,2018
455,10th Circuit,"Oklahoma, Northern",17,0.40%,2018
456,10th Circuit,"Oklahoma, Western",27,0.70%,2018
457,10th Circuit,Utah,58,1.50%,2018
458,10th Circuit,Wyoming,18,0.50%,2018
459,11th Circuit,"Alabama, Middle",8,0.20%,2018
460,11th Circuit,"Alabama, Northern",21,0.50%,2018
461,11th Circuit,"Alabama, Southern",16,0.40%,2018
462,11th Circuit,"Florida, Middle",63,1.60%,2018
463,11th Circuit,"Florida, Northern",19,0.50%,2018
464,11th Circuit,"Florida, Southern",108,2.70%,2018
465,11th Circuit,"Georgia, Middle",34,0.90%,2018
466,11th Circuit,"Georgia, Northern",50,1.30%,2018
467,11th Circuit,"Georgia, Southern",18,0.50%,2018
468,Grand Total,Total,"3,927",100.00%,2017
469,DC Circuit,District of Columbia,21,0.50%,2017
470,1st Circuit,Maine,17,0.40%,2017
471,1st Circuit,Massachusetts,32,0.80%,2017
472,1st Circuit,New Hampshire,16,0.40%,2017
473,1st Circuit,Puerto Rico,66,1.70%,2017
474,1st Circuit,Rhode Island,14,0.40%,2017
475,2nd Circuit,Connecticut,37,0.90%,2017
476,2nd Circuit,"New York, Eastern",81,2.10%,2017
477,2nd Circuit,"New York, Northern",14,0.40%,2017
478,2nd Circuit,"New York, Southern",168,4.30%,2017
479,2nd Circuit,"New York, Western",59,1.50%,2017
480,2nd Circuit,Vermont,4,0.10%,2017
481,3rd Circuit,Delaware,4,0.10%,2017
482,3rd Circuit,New Jersey,59,1.50%,2017
483,3rd Circuit,"Pennsylvania, Eastern",70,1.80%,2017
484,3rd Circuit,"Pennsylvania, Middle",41,1.00%,2017
485,3rd Circuit,"Pennsylvania, Western",16,0.40%,2017
486,3rd Circuit,Virgin Islands,6,0.20%,2017
487,4th Circuit,Maryland,113,2.90%,2017
488,4th Circuit,"North Carolina, Eastern",61,1.60%,2017
489,4th Circuit,"North Carolina, Middle",53,1.30%,2017
490,4th Circuit,"North Carolina, Western",62,1.60%,2017
491,4th Circuit,South Carolina,51,1.30%,2017
492,4th Circuit,"Virginia, Eastern",80,2.00%,2017
493,4th Circuit,"Virginia, Western",16,0.40%,2017
494,4th Circuit,"West Virginia, Northern",10,0.30%,2017
495,4th Circuit,"West Virginia, Southern",10,0.30%,2017
496,5th Circuit,"Louisiana, Eastern",36,0.90%,2017
497,5th Circuit,"Louisiana, Middle",3,0.10%,2017
498,5th Circuit,"Louisiana, Western",22,0.60%,2017
499,5th Circuit,"Mississippi, Northern",14,0.40%,2017
500,5th Circuit,"Mississippi, Southern",18,0.50%,2017
501,5th Circuit,"Texas, Eastern",35,0.90%,2017
